artist,track,track_id,flag
Brad Mehldau,Variations on Bach’s Goldberg Theme: Aria-like,1GyfNNpmFMXarxhFDXdxBF,1
Brand X,Don't Make Waves,45rD3JRPPonzp2UvvRP5G9,0
Brand X,Sun In The Night,6L47V9vpdkGpYLLJSSadxY,3
CAN,Outside My Door,16knwNciJTIFqUJEpFm0iI,2
CAN,Pinch,3IZ1foMiWDmbE02eveN47u,1
Camel,Six Ate - Remastered 2023,749xDnxS0L89ROKdpwXTOn,1
Camille Saint-Saëns,Danse macabre,1IM8x4lxZVOOP9gpQD6c5s,1
Camille Saint-Saëns,"Danse macabre in G Minor, Op. 40",1IM8x4lxZVOOP9gpQD6c5s,8
Camille Saint-Saëns,"Danse macabre, Op. 40",1IM8x4lxZVOOP9gpQD6c5s,2
Camille Saint-Saëns,"Introduction and Rondo capriccioso in A Minor, Op. 28",4jpMbRTTjZsoMW2I7D41G7,1
Camille Saint-Saëns,"Le Carnaval des Animaux, R. 125: 12. Fossiles",5kYuHNlTjSYU97I9EFFjFS,1
Camille Saint-Saëns,"Le Carnaval des Animaux, R. 125: 13. Le Cygne",5Aa3InQJHLUtSvTDtXXMsW,1
Camille Saint-Saëns,"Le Carnaval des Animaux, R. 125: 14. Finale",3yBEoiW3lAHgfvfWNLm3zo,5
Camille Saint-Saëns,"Le Carnaval des Animaux, R. 125: 7. Aquarium",0W4kuUA1ZoBrJ6ELXRgLE9,4
Camille Saint-Saëns,"Le Carnaval des Animaux, R.125: 1. Introduction et Marche royale du Lion",3lGHKpgbLIF7rdK4ubZLso,2
Camille Saint-Saëns,"Le Carnaval des Animaux, R.125: 10. Volières",6mS8a9UG3TxgAurTrUhiYj,6
Camille Saint-Saëns,"Le Carnaval des Animaux, R.125: 11. Pianistes",2Rv7P1GmQZWdB7BZKIveM5,5
Camille Saint-Saëns,"Le Carnaval des Animaux, R.125: 2. Poules et Coqs",6Uz3BfWPO4yvfOHbjQmJYK,4
Camille Saint-Saëns,"Le Carnaval des Animaux, R.125: 3. Hémiones (Animaux véloces)",7JM8U9ZHNayIChTXnnajwY,6
Camille Saint-Saëns,"Le Carnaval des Animaux, R.125: 4. Tortues",5Un9h6xPqnHSvguexXnbEg,6
Camille Saint-Saëns,"Le Carnaval des Animaux, R.125: 5. L'Eléphant",5JfeH4GT44wGGB5VslYr5b,0
Camille Saint-Saëns,"Le Carnaval des Animaux, R.125: 6. Kangourous",5GD9gbqYbXO0i7R3pPwZ6m,5
Camille Saint-Saëns,"Le Carnaval des Animaux, R.125: 8. Personnages à longues oreilles",3O6FnfOnvdJR9WR83yM8CI,6
Camille Saint-Saëns,"Le Carnaval des Animaux, R.125: 9. Le coucou au fond des bois",6iNNrG9tCm2f6F0SLvr4M6,4
Camille Saint-Saëns,"Le Rouet d'Omphale, Op. 31",0Cq0sCSWPz9RQm3KAbPGDU,0
Camille Saint-Saëns,"Phaéton, Op. 39",6ckEdhK3BFxJo37cpd1vfd,6
Camille Saint-Saëns,"Piano Concerto No. 1 in D Major, Op. 17: 1. Andante - Allegro assai",2ZBlOmxQnGPJjJELOC9sKr,3
Camille Saint-Saëns,"Piano Concerto No. 1 in D Major, Op. 17: 2. Andante sostenuto quasi adagio",2A08EzraMS1hUac5KlYAdq,4
Camille Saint-Saëns,"Piano Concerto No. 1 in D Major, Op. 17: 3. Allegro con fuoco",1eY9k5f6eOCJyz3Tdp5ERx,4
Camille Saint-Saëns,"Piano Concerto No. 2 in G Minor, Op. 22, R. 190: 1. Andante sostenuto",3xDHAFIRy2DdFlhYQBgHSA,4
Camille Saint-Saëns,"Piano Concerto No. 2 in G Minor, Op. 22, R. 190: 2. Allegro scherzando",0fdRXGuzPy1NDWlpeI0a3k,3
Camille Saint-Saëns,"Piano Concerto No. 2 in G Minor, Op. 22, R. 190: 3. Presto",20pa2M9PiHxBsfvJuHnefG,8
Camille Saint-Saëns,"Piano Concerto No. 2 in G Minor, Op. 22: I. Andante sostenuto",3xDHAFIRy2DdFlhYQBgHSA,3
Camille Saint-Saëns,"Piano Concerto No. 2 in G Minor, Op. 22: II. Allegro scherzando",2jmiEvEAY6SSQY3IyKuqO1,5
Camille Saint-Saëns,"Piano Concerto No. 2 in G Minor, Op. 22: III. Presto",2U1pfFYMRbtgEwvG5HFEwG,5
Camille Saint-Saëns,"Piano Concerto No. 3 in E-Flat Major, Op. 29: 1. Moderato assai",2bCn4fY0hCv0bwuka4USBN,1
Camille Saint-Saëns,"Piano Concerto No. 3 in E-Flat Major, Op. 29: 2. Andante",44uBql5JOmWK3Wtoz1GuKz,1
Camille Saint-Saëns,"Piano Concerto No. 3 in E-Flat Major, Op. 29: 3. Allegro non troppo",3JzDTzDrmkJy80TPaEQ2ab,1
Camille Saint-Saëns,"Piano Concerto No. 4 in C Minor, Op. 44: 1. Allegro moderato - Andante",7027fMDrgirxF8B88cmJ8c,2
Camille Saint-Saëns,"Piano Concerto No. 4 in C Minor, Op. 44: 2. Allegro vivace - Andante - Allegro",7uAcY4vy98w8SWflbLerde,3
Camille Saint-Saëns,"Piano Concerto No. 5 in F Major, Op. 103 ""Egyptian"": 1. Allegro animato",7vi2Uml8bRxhzoIcZWPeRx,2
Camille Saint-Saëns,"Piano Concerto No. 5 in F Major, Op. 103 ""Egyptian"": 2. Andante",4BgQI6uE5SI3BQm5Z2XpB5,2
