artist,genres_
Leon Russell,Blues Rock/Country Rock/Folk/Folk Rock/Mellow Gold/Outlaw Country/Piano Rock/Roots Rock/Singer-songwriter/Southern Rock/Swamp Rock
Little Feat,Blues Rock/Country Rock/Electric Blues/Folk/Folk Rock/Jam Band/Mellow Gold/Roots Rock/Southern Rock/Swamp Rock
Locanda delle fate,Italian Progressive Rock
Love,Acid Rock/Folk Rock/Psychedelic Rock
Magic Shoppe,Neo-psychedelic/New England Shoegaze/Psych Gaze
Magma,Avant-prog/Progressive Rock/Rock Progressif Francais/Zeuhl/Zolo
Mahavishnu Orchestra,Instrumental Rock/Jazz/Jazz Fusion/Progressive Rock
Masayoshi Takanaka,Classic Japanese Jazz
Maurice Ravel,Classical/Impressionism/Neoclassicism/Post-romantic Era
Maxophone,Italian Progressive Rock
McCoy Tyner,Contemporary Post-bop/Hard Bop/Jazz/Jazz Piano
Merl Saunders,Jam Band
Mick Jagger,Album Rock/British Invasion/Classic Rock/Rock
Mick Taylor,British Blues
Miles Davis,Cool Jazz/Hard Bop/Jazz/Jazz Fusion/Jazz Trumpet/Soul/Vocal Jazz
Museo Rosenbach,Italian Progressive Rock
Napoli Centrale,Italian Folk/Italian Progressive Rock/Neapolitan Funk
Natural Child,Garage Pop/Neo-psychedelic
Neil Young,Canadian Singer-songwriter/Classic Canadian Rock/Classic Rock/Folk Rock/Mellow Gold/Permanent Wave/Rock/Roots Rock/Singer-songwriter
New Trolls,Beat Italiano/Classic Italian Pop/Italian Progressive Rock
Nicky Hopkins,Piano Rock/Rock Keyboard
Nikolai Rimsky-Korsakov,Avant-garde/Classical/Early Modern Classical/Late Romantic Era/Russian Romanticism
Nina Simone,Jazz Blues/Neo Soul/Soul/Soul Jazz/Torch Song/Vocal Jazz
Oliver Nelson,Bebop/Contemporary Post-bop/Jazz/Jazz Saxophone
Ornette Coleman,Avant-garde Jazz/Contemporary Post-bop/Free Jazz/Jazz/Jazz Saxophone
Osanna,Flute Rock/Italian Progressive Rock
Oscar Peterson Trio,Bebop/Contemporary Post-bop/Jazz/Jazz Trio
Ozric Tentacles,Deep Space Rock/Instrumental Rock/Space Rock
P.F.M.,Italian Progressive Rock/Progressive Rock
PJ Harvey,Alternative Rock/Art Pop/Melancholia/Permanent Wave/Piano Rock/Singer-songwriter
Paco de Lucía,Flamenco/Flamenco Guitar/Rumba
Patti Smith,Art Punk/Permanent Wave/Protopunk/Singer-songwriter
Paul McCartney,Classic Rock/Mellow Gold/Rock/Soft Rock
Paul Simon,Classic Rock/Folk/Folk Rock/Mellow Gold/Permanent Wave/Rock/Singer-songwriter/Soft Rock
Pearl Jam,Alternative Metal/Alternative Rock/Classic Rock/Grunge/Hard Rock/Permanent Wave/Rock
Peter Green,British Blues
Pharoah Sanders,Avant-garde Jazz/Free Jazz/Hard Bop/Jazz/Jazz Funk/Jazz Saxophone/Spiritual Jazz
Philip Glass,American Contemporary Classical/Classical/Compositional Ambient/Contemporary Classical/Minimalism
Pink Floyd,Album Rock/Art Rock/Classic Rock/Progressive Rock/Psychedelic Rock/Rock/Symphonic Rock
Pino Daniele,Canzone D'autore/Canzone Napoletana/Classic Italian Pop/Folk Rock Italiano/Italian Adult Pop
Porcupine Tree,Progressive Metal/Progressive Rock
Premiata Forneria Marconi,Italian Progressive Rock/Progressive Rock
Psychic Ills,Neo-psychedelic/Psych Gaze
Quella Vecchia Locanda,Italian Progressive Rock
Quicksilver Messenger Service,Acid Rock/Blues Rock/Classic Garage Rock/Country Rock/Folk Rock/Proto-metal/Psychedelic Rock
Rabih Abou-Khalil,Arab Folk/Arabic Jazz/Oud
Rahsaan Roland Kirk,Contemporary Post-bop/Free Jazz/Jazz Saxophone
Rainbow,Album Rock/Classic Rock/Glam Metal/Hard Rock/Metal/Rock
Renaud Garcia-Fons,Arab Folk/Arabic Jazz/French Jazz
René Aubry,Compositional Ambient
Rick Wakeman,Progressive Rock/Rock Keyboard/Symphonic Rock
Robert Fripp,Ambient Guitar/Art Rock/Experimental/Experimental Ambient/Experimental Guitar/Experimental Rock/Jazz Fusion/Progressive Rock/Symphonic Rock
Ronnie Wood,Electric Blues
Ruins,Brutal Prog/Japanese Prog/Japanoise/Noise Rock
